timestamp,session,symbol,side,qty,status,reason
2026-09-24T15:18:16,AM,GOOGL,buy,7,pending_new,"combined score +0.35; ranked #44 of 278; driven mainly by price momentum +1.02, research (news + analyst consensus) +0.80; entering/adding to the top-ranked target portfolio; research detail: 239 recent headline(s), net positive tone (+49); analyst consensus +1.19/2 (20 strong buy, 43 buy, 7 hold, 0 sell, 0 strong sell)"
2026-09-24T15:18:16,AM,MU,buy,1,pending_new,"combined score +0.78; ranked #7 of 278; driven mainly by price momentum +2.82, research (news + analyst consensus) +1.23; entering/adding to the top-ranked target portfolio; research detail: 139 recent headline(s), net positive tone (+52); analyst consensus +1.21/2 (18 strong buy, 35 buy, 4 hold, 1 sell, 0 strong sell)"
2026-09-24T15:37:43,AM,CFG,sell,31,pending_new,"combined score +0.40; ranked #29 of 503; driven mainly by price momentum +1.45, low volatility +0.29; trimmed toward target weight, or dropped out of the top-ranked names; research detail: 2 recent headline(s), neutral/mixed tone; analyst consensus +1.04/2 (5 strong buy, 14 buy, 4 hold, 0 sell, 0 strong sell)"
2026-09-24T15:37:43,AM,BAC,buy,67,pending_new,"combined score +0.78; ranked #6 of 503; driven mainly by research (news + analyst consensus) +1.54, low volatility +0.99; entering/adding to the top-ranked target portfolio; research detail: 36 recent headline(s), net positive tone (+10); analyst consensus +1.00/2 (6 strong buy, 17 buy, 6 hold, 0 sell, 0 strong sell)"
2026-09-24T15:37:43,AM,SNDK,buy,1,pending_new,"combined score +1.48; ranked #1 of 503; driven mainly by price momentum +6.11, low volatility -1.45; entering/adding to the top-ranked target portfolio; research detail: 66 recent headline(s), net positive tone (+31); analyst consensus +1.18/2 (11 strong buy, 17 buy, 5 hold, 0 sell, 0 strong sell)"
2026-09-24T15:37:43,AM,CAH,buy,7,pending_new,"combined score +0.56; ranked #17 of 503; driven mainly by low volatility +1.42, research (news + analyst consensus) +1.01; entering/adding to the top-ranked target portfolio; research detail: 6 recent headline(s), net positive tone (+6); analyst consensus +1.21/2 (8 strong buy, 13 buy, 3 hold, 0 sell, 0 strong sell)"
2026-09-24T15:37:43,AM,MU,buy,1,pending_new,"combined score +0.84; ranked #3 of 503; driven mainly by price momentum +2.82, research (news + analyst consensus) +1.50; entering/adding to the top-ranked target portfolio; research detail: 139 recent headline(s), net positive tone (+52); analyst consensus +1.21/2 (18 strong buy, 35 buy, 4 hold, 1 sell, 0 strong sell)"
2026-09-24T15:37:43,AM,AIZ,buy,5,pending_new,"combined score +0.54; ranked #18 of 503; driven mainly by low volatility +0.99, price momentum +0.98; entering/adding to the top-ranked target portfolio; research detail: 8 recent headline(s), net positive tone (+5); analyst consensus +1.00/2 (2 strong buy, 9 buy, 2 hold, 0 sell, 0 strong sell)"
2026-09-25T13:52:53,AM,MRNA,sell,8,pending_new,"combined score +0.53; ranked #20 of 503; driven mainly by price momentum +5.15, low volatility -2.47; trimmed toward target weight, or dropped out of the top-ranked names; research detail: 18 recent headline(s), net positive tone (+5); analyst consensus +0.43/2 (4 strong buy, 7 buy, 17 hold, 2 sell, 0 strong sell)"
2026-09-25T13:52:53,AM,JNJ,buy,11,pending_new,"combined score +0.68; ranked #11 of 503; driven mainly by low volatility +2.23, research (news + analyst consensus) +1.51; entering/adding to the top-ranked target portfolio; research detail: 31 recent headline(s), net positive tone (+13); analyst consensus +0.94/2 (7 strong buy, 15 buy, 9 hold, 0 sell, 0 strong sell)"
2026-09-25T13:52:53,AM,WELL,buy,12,pending_new,"combined score +0.65; ranked #13 of 503; driven mainly by price momentum +1.74, research (news + analyst consensus) +1.16; entering/adding to the top-ranked target portfolio; research detail: 7 recent headline(s), net positive tone (+2); analyst consensus +1.04/2 (6 strong buy, 17 buy, 5 hold, 0 sell, 0 strong sell)"
2026-09-25T13:52:53,AM,CASY,buy,3,pending_new,"combined score +0.56; ranked #19 of 503; driven mainly by price momentum +2.83, low volatility -1.58; entering/adding to the top-ranked target portfolio; research detail: 5 recent headline(s), net positive tone (+3); analyst consensus +1.04/2 (9 strong buy, 10 buy, 8 hold, 0 sell, 0 strong sell)"
2026-09-25T13:52:53,AM,TGT,buy,10,pending_new,"combined score +0.81; ranked #5 of 503; driven mainly by price momentum +2.84, research (news + analyst consensus) +0.96; entering/adding to the top-ranked target portfolio; research detail: 24 recent headline(s), net positive tone (+16); analyst consensus +0.44/2 (7 strong buy, 8 buy, 25 hold, 3 sell, 0 strong sell)"
